Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
2,Falinks (155),Falinks,SWSH08: Fusion Strike,155/264,SWSH08,Normal,Near Mint,English,Common,253369,5266985
1,Farfetch'd,Farfetch'd,Hidden Fates,45/68,HIF,Normal,Near Mint,English,Uncommon,197689,4169449
1,Feebas,Feebas,SWSH12: Silver Tempest,039/195,SWSH12,Normal,Near Mint,English,Common,451674,6670477
1,Flittle,Flittle,McDonald's Promos 2023,009/015,M23,Normal,Near Mint,English,Rare,516520,7431186
1,Frillish,Frillish,SWSH05: Battle Styles,041/163,SWSH05,Normal,Near Mint,English,Common,234183,4820219
1,Galarian Slowking VMAX,Galarian Slowking VMAX,SWSH06: Chilling Reign,100/198,SWSH06,Holofoil,Near Mint,English,Ultra Rare,241773,5034820
1,Galarian Stunfisk,Galarian Stunfisk,SWSH11: Lost Origin,127/196,SWSH11,Normal,Near Mint,English,Uncommon,284044,5786828
1,Gligar,Gligar,SWSH05: Battle Styles,071/163,SWSH05,Normal,Near Mint,English,Common,234247,4822369
1,Gliscor,Gliscor,SWSH05: Battle Styles,072/163,SWSH05,Normal,Near Mint,English,Uncommon,234248,4822379
1,Gloom,Gloom,SWSH11: Lost Origin,002/196,SWSH11,Normal,Near Mint,English,Uncommon,283862,5785442
1,Goldeen,Goldeen,SM - Unbroken Bonds,48/214,SM10,Normal,Near Mint,English,Common,189147,4008713
1,Growlithe,Growlithe,SWSH08: Fusion Strike,032/264,SWSH08,Normal,Near Mint,English,Common,253129,5262990
1,Grumpig,Grumpig,SWSH05: Battle Styles,056/163,SWSH05,Normal,Near Mint,English,Uncommon,234222,4821804
1,Gurdurr,Gurdurr,SWSH05: Battle Styles,074/163,SWSH05,Normal,Near Mint,English,Uncommon,234250,4822399
2,Gutsy Pickaxe,Gutsy Pickaxe,SWSH10: Astral Radiance,145/189,SWSH10,Normal,Near Mint,English,Uncommon,272397,5595026
1,Hariyama,Hariyama,SWSH11: Lost Origin,098/196,SWSH11,Normal,Near Mint,English,Uncommon,283988,5786547
1,Hisuian Goodra VSTAR,Hisuian Goodra VSTAR,SWSH11: Lost Origin,136/196,SWSH11,Holofoil,Near Mint,English,Ultra Rare,284059,5786899
2,Hisuian Growlithe,Hisuian Growlithe,SWSH11: Lost Origin,083/196,SWSH11,Normal,Near Mint,English,Common,283967,5786442
1,Hoppip,Hoppip,SV02: Paldea Evolved,001/193,SV02,Normal,Near Mint,English,Common,497412,7158203
1,Horsea,Horsea,Shining Fates,020/072,SHF,Normal,Near Mint,English,Common,232409,4779605
1,Horsea,Horsea,SWSH11: Lost Origin,035/196,SWSH11,Normal,Near Mint,English,Common,283909,5786147
1,Houndoom - 034/198,Houndoom,SV01: Scarlet & Violet Base Set,034/198,SV1,Normal,Near Mint,English,Common,487874,7024443
1,Houndstone,Houndstone,SV01: Scarlet & Violet Base Set,106/198,SV1,Holofoil,Near Mint,English,Rare,487983,7024977
1,Indeedee,Indeedee,SV01: Scarlet & Violet Base Set,153/198,SV1,Holofoil,Near Mint,English,Rare,488045,7025460
2,Kirlia,Kirlia,McDonald's Promos 2023,015/015,M23,Normal,Near Mint,English,Rare,516526,7431216
1,Klawf - 122/198,Klawf,SV01: Scarlet & Violet Base Set,122/198,SV1,Holofoil,Near Mint,English,Rare,488011,7025183
1,Lickitung,Lickitung,SWSH11: Lost Origin,138/196,SWSH11,Normal,Near Mint,English,Common,284061,5786909
1,Lopunny,Lopunny,SWSH12: Silver Tempest,145/195,SWSH12,Normal,Near Mint,English,Uncommon,451795,6671527
2,Lumineon,Lumineon,SWSH11: Lost Origin,041/196,SWSH11,Normal,Near Mint,English,Uncommon,283915,5786177
1,Magmar,Magmar,Hidden Fates,10/68,HIF,Normal,Near Mint,English,Uncommon,197652,4169132
1,Magnemite,Magnemite,SV02: Paldea Evolved,065/193,SV02,Normal,Near Mint,English,Common,497476,7158523
1,Makuhita,Makuhita,SWSH11: Lost Origin,097/196,SWSH11,Normal,Near Mint,English,Common,283987,5786542
1,Maschiff,Maschiff,SV02: Paldea Evolved,141/193,SV02,Normal,Near Mint,English,Common,497648,7160243
1,Metang,Metang,SWSH12: Silver Tempest,118/195,SWSH12,Normal,Near Mint,English,Uncommon,451772,6671312
1,Metapod,Metapod,Hidden Fates,2/68,HIF,Normal,Near Mint,English,Uncommon,197644,4169062
1,Mienshao,Mienshao,SWSH11: Lost Origin,104/196,SWSH11,Normal,Near Mint,English,Uncommon,283998,5786597
1,Morpeko (036),Morpeko,Shining Fates,036/072,SHF,Normal,Near Mint,English,Common,232470,4779960
2,Morpeko (179),Morpeko,SWSH08: Fusion Strike,179/264,SWSH08,Normal,Near Mint,English,Common,253393,5267205
1,Murkrow,Murkrow,SWSH11: Lost Origin,114/196,SWSH11,Normal,Near Mint,English,Common,284011,5786662
1,Naclstack,Naclstack,SV02: Paldea Evolved,122/193,SV02,Normal,Near Mint,English,Uncommon,497537,7158848
1,Nuzleaf,Nuzleaf,SWSH11: Lost Origin,012/196,SWSH11,Normal,Near Mint,English,Uncommon,283877,5785767
1,Nymble - 019/193,Nymble,SV02: Paldea Evolved,019/193,SV02,Normal,Near Mint,English,Common,497430,7158293
1,Oddish,Oddish,SWSH11: Lost Origin,001/196,SWSH11,Normal,Near Mint,English,Common,283861,5785437
1,Pachirisu - 068/198,Pachirisu,SV01: Scarlet & Violet Base Set,068/198,SV1,Normal,Near Mint,English,Uncommon,487922,7024675
1,Pancham,Pancham,SWSH08: Fusion Strike,149/264,SWSH08,Normal,Near Mint,English,Common,253363,5266955
2,Panpour,Panpour,SWSH08: Fusion Strike,068/264,SWSH08,Normal,Near Mint,English,Common,253211,5265185
1,Pansage,Pansage,SWSH08: Fusion Strike,007/264,SWSH08,Normal,Near Mint,English,Common,253077,5261985
1,Paras,Paras,SM - Team Up,6/181,SM9,Normal,Near Mint,English,Common,183777,3962394
3,Pawmi,Pawmi,SV02: Paldea Evolved,074/193,SV02,Normal,Near Mint,English,Common,497485,7158568
3,Pikachu,Pikachu,SV02: Paldea Evolved,062/193,SV02,Normal,Near Mint,English,Common,497473,7158508
1,Pincurchin - 073/193,Pincurchin,SV02: Paldea Evolved,073/193,SV02,Normal,Near Mint,English,Uncommon,497484,7158563
1,Ponyta,Ponyta,SM - Team Up,17/181,SM9,Normal,Near Mint,English,Common,183788,3962499
1,Quaquaval - 054/198,Quaquaval,Deck Exclusives,054/198,PR,Normal,Near Mint,English,Rare,494950,7135288
1,Quaxly,Quaxly,McDonald's Promos 2023,003/015,M23,Holofoil,Near Mint,English,Rare,516514,7431156
1,Raichu - 064/193,Raichu,SV02: Paldea Evolved,064/193,SV02,Normal,Near Mint,English,Uncommon,497475,7158518
1,Ralts,Ralts,SWSH12: Silver Tempest,067/195,SWSH12,Normal,Near Mint,English,Common,451721,6670827
1,Rattata,Rattata,SM - Unbroken Bonds,143/214,SM10,Normal,Near Mint,English,Common,189243,4009628
1,Regieleki - 060/203,Regieleki,Deck Exclusives,060/203,PR,Normal,Near Mint,English,Rare,247423,5154688
1,Rock Chestplate,Rock Chestplate,SV01: Scarlet & Violet Base Set,192/198,SV1,Normal,Near Mint,English,Uncommon,475443,6910155
1,Rolycoly,Rolycoly,SWSH05: Battle Styles,078/163,SWSH05,Normal,Near Mint,English,Common,234254,4822429
1,Roserade,Roserade,SWSH11: Lost Origin,015/196,SWSH11,Normal,Near Mint,English,Uncommon,283882,5785882
1,Salandit,Salandit,SWSH05: Battle Styles,027/163,SWSH05,Normal,Near Mint,English,Common,234130,4818679
2,Sandaconda,Sandaconda,SV01: Scarlet & Violet Base Set,120/198,SV1,Normal,Near Mint,English,Uncommon,488009,7025163
1,Sandile - 115/198,Sandile,SV01: Scarlet & Violet Base Set,115/198,SV1,Normal,Near Mint,English,Common,488004,7025113
1,Scovillain - 029/198,Scovillain,SV01: Scarlet & Violet Base Set,029/198,SV1,Normal,Near Mint,English,Uncommon,487868,7024413
1,Scyther,Scyther,Hidden Fates,5/68,HIF,Normal,Near Mint,English,Uncommon,197647,4169092
1,Seviper,Seviper,SWSH11: Lost Origin,116/196,SWSH11,Normal,Near Mint,English,Uncommon,284015,5786682
1,Shellos,Shellos,SWSH11: Lost Origin,039/196,SWSH11,Normal,Near Mint,English,Common,283913,5786167
1,Shelmet,Shelmet,SWSH08: Fusion Strike,013/264,SWSH08,Normal,Near Mint,English,Common,253087,5262455
1,Shinx,Shinx,SWSH02: Rebel Clash,060/192,SWSH02,Normal,Near Mint,English,Common,213141,4410545
2,Shinx - 068/193,Shinx,SV02: Paldea Evolved,068/193,SV02,Normal,Near Mint,English,Common,497479,7158538
1,Shinx - 091/264 (#6 Pikachu Stamped),Shinx,Battle Academy 2022,091/264,BA22,Normal,Near Mint,English,Rare,268225,5485674
2,Shuppet,Shuppet,SWSH11: Lost Origin,072/196,SWSH11,Normal,Near Mint,English,Common,283949,5786352
1,Sigilyph,Sigilyph,SWSH12: Silver Tempest,075/195,SWSH12,Normal,Near Mint,English,Uncommon,451729,6670897
1,Slakoth,Slakoth,SV02: Paldea Evolved,160/193,SV02,Normal,Near Mint,English,Common,497578,7159403
1,Slugma,Slugma,SWSH11: Lost Origin,021/196,SWSH11,Normal,Near Mint,English,Common,283892,5786022
1,Slurpuff,Slurpuff,SWSH12: Silver Tempest,084/195,SWSH12,Normal,Near Mint,English,Uncommon,451738,6670987
1,Solosis,Solosis,SWSH12: Silver Tempest,076/195,SWSH12,Normal,Near Mint,English,Common,451730,6670907
2,Spinarak,Spinarak,SWSH12: Silver Tempest,003/195,SWSH12,Normal,Near Mint,English,Common,451622,6670077
1,Spinda,Spinda,SWSH12: Silver Tempest,141/195,SWSH12,Normal,Near Mint,English,Common,451791,6671487
1,Spoink,Spoink,SWSH05: Battle Styles,055/163,SWSH05,Normal,Near Mint,English,Common,234221,4821794
1,Squirtle,Squirtle,SM - Unbroken Bonds,33/214,SM10,Normal,Near Mint,English,Common,189088,4008348
1,Squirtle (23),Squirtle,SM - Team Up,23/181,SM9,Normal,Near Mint,English,Common,183794,3962559
1,Sudowoodo,Sudowoodo,SWSH11: Lost Origin,094/196,SWSH11,Normal,Near Mint,English,Common,283982,5786517
1,Sunflora,Sunflora,SWSH12: Silver Tempest,006/195,SWSH12,Normal,Near Mint,English,Uncommon,451626,6670112
1,Tadbulb - 078/193,Tadbulb,SV02: Paldea Evolved,078/193,SV02,Normal,Near Mint,English,Common,497489,7158588
1,Tandemaus,Tandemaus,McDonald's Promos 2023,013/015,M23,Normal,Near Mint,English,Rare,516524,7431206
1,Tandemaus - 160/198,Tandemaus,SV01: Scarlet & Violet Base Set,160/198,SV1,Normal,Near Mint,English,Common,488056,7025536
1,Tangela,Tangela,SM - Unbroken Bonds,16/214,SM10,Normal,Near Mint,English,Common,189058,4008038
1,Tarountula - 018/198,Tarountula,SV01: Scarlet & Violet Base Set,018/198,SV1,Normal,Near Mint,English,Common,487855,7024348
2,Tatsugiri,Tatsugiri,SV01: Scarlet & Violet Base Set,062/198,SV1,Normal,Near Mint,English,Uncommon,487914,7024635
1,Tauros,Tauros,SM - Team Up,129/181,SM9,Normal,Near Mint,English,Uncommon,183918,3963654
2,Tentacool,Tentacool,SM - Unbroken Bonds,40/214,SM10,Normal,Near Mint,English,Common,189116,4008518
1,Torkoal,Torkoal,SWSH11: Lost Origin,023/196,SWSH11,Normal,Near Mint,English,Uncommon,283894,5786047
1,Venonat (9),Venonat,SM - Unbroken Bonds,9/214,SM10,Normal,Near Mint,English,Common,189047,4007953
2,Vespiquen,Vespiquen,SV02: Paldea Evolved,009/193,SV02,Normal,Near Mint,English,Uncommon,497420,7158243
1,Virizion,Virizion,SWSH12: Silver Tempest,014/195,SWSH12,Normal,Near Mint,English,Rare,451642,6670222
1,Voltorb,Voltorb,SM - Team Up,38/181,SM9,Normal,Near Mint,English,Common,183811,3962714
3,Wattrel - 081/193,Wattrel,SV02: Paldea Evolved,081/193,SV02,Normal,Near Mint,English,Common,497492,7158603
1,Wooloo (222),Wooloo,SWSH08: Fusion Strike,222/264,SWSH08,Normal,Near Mint,English,Common,253323,5266655
1,Wurmple,Wurmple,SWSH11: Lost Origin,006/196,SWSH11,Normal,Near Mint,English,Common,283870,5785587
