"Name","Type","Level","Evolves_to","Evolves_from","Name_type","Times_appeared","Final_stage"
"Cottonee","Fairy","Basic","Whimsicott",NA,"Cottonee_Fairy",1,"Not final evolution"
"Crabrawler","Fighting","Basic","Crabominable",NA,"Crabrawler_Fighting",1,"Not final evolution"
"Cramorant","Water","Basic",NA,NA,"Cramorant_Water",1,"Final evolution"
"Croagunk","Darkness","Basic","Toxicroak",NA,"Croagunk_Darkness",2,"Not final evolution"
"Cryogonal","Water","Basic",NA,NA,"Cryogonal_Water",1,"Final evolution"
"Cubchoo","Water","Basic","Beartic",NA,"Cubchoo_Water",1,"Not final evolution"
"Cufant","Metal","Basic","Copperajah",NA,"Cufant_Metal",2,"Not final evolution"
"Cutiefly","Psychic","Basic","Ribombee",NA,"Cutiefly_Psychic",1,"Not final evolution"
"Cyclizar","Colorless","Basic",NA,NA,"Cyclizar_Colorless",1,"Final evolution"
"Darkrai","Darkness","Basic",NA,NA,"Darkrai_Darkness",1,"Final evolution"
"Darumaka","Fire","Basic","Darmanitan",NA,"Darumaka_Fire",1,"Not final evolution"
"Galarian Darumaka","Water","Basic","Darmanitan",NA,"Galarian Darumaka_Water",1,"Not final evolution"
"Dedenne","Fairy","Basic",NA,NA,"Dedenne_Fairy",1,"Final evolution"
"Dedenne","Psychic","Basic",NA,NA,"Dedenne_Psychic",1,"Final evolution"
"Deerling","Grass","Basic","Sawsbuck",NA,"Deerling_Grass",1,"Not final evolution"
"Deino","Dragon","Basic","Zweilous",NA,"Deino_Dragon",1,"Not final evolution"
"Delibird","Water","Basic",NA,NA,"Delibird_Water",1,"Final evolution"
"Deoxys","Psychic","Basic",NA,NA,"Deoxys_Psychic",1,"Final evolution"
"Dewpider","Grass","Basic","Araquanid",NA,"Dewpider_Grass",1,"Not final evolution"
"Dhelmise","Grass","Basic",NA,NA,"Dhelmise_Grass",1,"Final evolution"
"Dhelmise","Psychic","Basic",NA,NA,"Dhelmise_Psychic",1,"Final evolution"
"Doduo","Colorless","Basic","Dodrio",NA,"Doduo_Colorless",1,"Not final evolution"
"Drampa","Dragon","Basic",NA,NA,"Drampa_Dragon",1,"Final evolution"
"Dratini","Dragon","Basic","Dragonair",NA,"Dratini_Dragon",1,"Not final evolution"
"Dreepy","Psychic","Basic","Drakloak",NA,"Dreepy_Psychic",1,"Not final evolution"
"Drifloon","Psychic","Basic","Drifblim",NA,"Drifloon_Psychic",2,"Not final evolution"
"Drowzee","Psychic","Basic","Hypno",NA,"Drowzee_Psychic",2,"Not final evolution"
"Ducklett","Water","Basic","Swanna",NA,"Ducklett_Water",1,"Not final evolution"
"Ducklett","Colorless","Basic","Swanna",NA,"Ducklett_Colorless",1,"Not final evolution"
"Dunsparce","Colorless","Basic",NA,NA,"Dunsparce_Colorless",1,"Final evolution"
"Durant","Grass","Basic",NA,NA,"Durant_Grass",1,"Final evolution"
"Durant","Metal","Basic",NA,NA,"Durant_Metal",1,"Final evolution"
"Dwebble","Grass","Basic","Crustle",NA,"Dwebble_Grass",1,"Not final evolution"
"Eevee","Colorless","Basic",NA,NA,"Eevee_Colorless",1,"Final evolution"
"Eiscue","Water","Basic",NA,NA,"Eiscue_Water",1,"Final evolution"
"Ekans","Psychic","Basic","Arbok",NA,"Ekans_Psychic",1,"Not final evolution"
"Electabuzz","Lightning","Basic","Electivire",NA,"Electabuzz_Lightning",1,"Not final evolution"
"Electrike","Lightning","Basic","Manectric",NA,"Electrike_Lightning",1,"Not final evolution"
"Elekid","Lightning","Basic","Electabuzz",NA,"Elekid_Lightning",1,"Not final evolution"
"Elgyem","Psychic","Basic","Beheeyem",NA,"Elgyem_Psychic",1,"Not final evolution"
"Emolga","Lightning","Basic",NA,NA,"Emolga_Lightning",1,"Final evolution"
"Espurr","Psychic","Basic","Meowstic",NA,"Espurr_Psychic",1,"Not final evolution"
"Exeggcute","Grass","Basic","Exeggutor",NA,"Exeggcute_Grass",1,"Not final evolution"
"Fan Rotom","Colorless","Basic",NA,NA,"Fan Rotom_Colorless",1,"Final evolution"
"Farfetch'd","Colorless","Basic","Sirfetch'd",NA,"Farfetch'd_Colorless",1,"Not final evolution"
"Feebas","Water","Basic","Milotic",NA,"Feebas_Water",1,"Not final evolution"
"Ferroseed","Metal","Basic","Ferrothorn",NA,"Ferroseed_Metal",1,"Not final evolution"
"Fidough","Psychic","Basic",NA,NA,"Fidough_Psychic",1,"Final evolution"
"Finizen","Water","Basic","Palafin",NA,"Finizen_Water",2,"Not final evolution"
"Flabébé","Fairy","Basic","Floette",NA,"Flabébé_Fairy",1,"Not final evolution"
"Flamigo","Colorless","Basic",NA,NA,"Flamigo_Colorless",1,"Final evolution"
"Fletchling","Colorless","Basic","Fletchinder",NA,"Fletchling_Colorless",2,"Not final evolution"
"Flittle","Psychic","Basic",NA,NA,"Flittle_Psychic",1,"Final evolution"
"Flutter Mane","Psychic","Basic",NA,NA,"Flutter Mane_Psychic",1,"Final evolution"
"Fomantis","Grass","Basic","Lurantis",NA,"Fomantis_Grass",1,"Not final evolution"
"Foongus","Grass","Basic","Amoonguss",NA,"Foongus_Grass",1,"Not final evolution"
"Frigibax","Water","Basic",NA,NA,"Frigibax_Water",1,"Final evolution"
"Frillish","Water","Basic","Jellicent",NA,"Frillish_Water",1,"Not final evolution"
"Froakie","Water","Basic","Frogadier",NA,"Froakie_Water",1,"Not final evolution"
"Fuecoco","Fire","Basic",NA,NA,"Fuecoco_Fire",1,"Final evolution"
"Furfrou","Colorless","Basic",NA,NA,"Furfrou_Colorless",1,"Final evolution"
"Galarian Zigzagoon","Darkness","Basic","Linoone",NA,"Galarian Zigzagoon_Darkness",1,"Not final evolution"
"Galarian Mr Mime","Water","Basic","Mr. Rime",NA,"Galarian Mr Mime_Water",2,"Not final evolution"
"Galarian Corsola","Psychic","Basic","Cursola",NA,"Galarian Corsola_Psychic",1,"Not final evolution"
"Galarian Stunfisk","Metal","Basic",NA,NA,"Galarian Stunfisk_Metal",1,"Final evolution"
"Galarian Meowth","Metal","Basic","Persian",NA,"Galarian Meowth_Metal",2,"Not final evolution"
"Gastly","Psychic","Basic","Haunter",NA,"Gastly_Psychic",1,"Not final evolution"
"Gastly","Darkness","Basic","Haunter",NA,"Gastly_Darkness",1,"Not final evolution"
"Gimmighoul","Psychic","Basic",NA,NA,"Gimmighoul_Psychic",1,"Final evolution"
"Girafarig","Psychic","Basic",NA,NA,"Girafarig_Psychic",1,"Final evolution"
"Girafarig","Colorless","Basic",NA,NA,"Girafarig_Colorless",1,"Final evolution"
"Glameow","Colorless","Basic","Purugly",NA,"Glameow_Colorless",1,"Not final evolution"
"Goldeen","Water","Basic","Seaking",NA,"Goldeen_Water",1,"Not final evolution"
"Gossifleur","Grass","Basic","Eldegoss",NA,"Gossifleur_Grass",1,"Not final evolution"
"Great Tusk","Fighting","Basic",NA,NA,"Great Tusk_Fighting",1,"Final evolution"
"Greavard","Psychic","Basic","Houndstone",NA,"Greavard_Psychic",2,"Not final evolution"
"Grimer","Darkness","Basic","Muk",NA,"Grimer_Darkness",2,"Not final evolution"
"Grookey","Grass","Basic","Thwackey",NA,"Grookey_Grass",1,"Not final evolution"
"Growlithe","Fire","Basic","Arcanine",NA,"Growlithe_Fire",2,"Not final evolution"
"Grubbin","Grass","Basic","Charjabug",NA,"Grubbin_Grass",1,"Not final evolution"
"Heatmor","Fire","Basic",NA,NA,"Heatmor_Fire",1,"Final evolution"
"Helioptile","Lightning","Basic","Heliolisk",NA,"Helioptile_Lightning",1,"Not final evolution"
"Heracross","Grass","Basic",NA,NA,"Heracross_Grass",1,"Final evolution"
"Honedge","Metal","Basic","Doublade",NA,"Honedge_Metal",1,"Not final evolution"
"Hoothoot","Colorless","Basic","Noctowl",NA,"Hoothoot_Colorless",1,"Not final evolution"
"Hoppip","Grass","Basic","Skiploom",NA,"Hoppip_Grass",2,"Not final evolution"
"Horsea","Water","Basic","Seadra",NA,"Horsea_Water",1,"Not final evolution"
"Houndour","Fire","Basic","Houndoom",NA,"Houndour_Fire",2,"Not final evolution"
"Houndour","Darkness","Basic","Houndoom",NA,"Houndour_Darkness",1,"Not final evolution"
"Illumise","Grass","Basic",NA,NA,"Illumise_Grass",1,"Final evolution"
"Indeedee","Psychic","Basic",NA,NA,"Indeedee_Psychic",1,"Final evolution"
"Indeedee","Colorless","Basic",NA,NA,"Indeedee_Colorless",1,"Final evolution"
"Inkay","Darkness","Basic","Malamar",NA,"Inkay_Darkness",1,"Not final evolution"
"Inkay","Psychic","Basic","Malamar",NA,"Inkay_Psychic",1,"Not final evolution"
"Iron Moth","Fire","Basic",NA,NA,"Iron Moth_Fire",1,"Final evolution"
"Iron Bundle","Water","Basic",NA,NA,"Iron Bundle_Water",1,"Final evolution"
"Iron Valiant","Psychic","Basic",NA,NA,"Iron Valiant_Psychic",1,"Final evolution"
"Jigglypuff","Fairy","Basic","Wigglytuff",NA,"Jigglypuff_Fairy",1,"Not final evolution"
"Jigglypuff","Psychic","Basic","Wigglytuff",NA,"Jigglypuff_Psychic",2,"Not final evolution"
"Jirachi","Metal","Basic",NA,NA,"Jirachi_Metal",1,"Final evolution"
"Joltik","Lightning","Basic","Galvantula",NA,"Joltik_Lightning",1,"Not final evolution"
"Jynx","Psychic","Basic",NA,NA,"Jynx_Psychic",1,"Final evolution"
"Kangaskhan","Colorless","Basic",NA,NA,"Kangaskhan_Colorless",1,"Final evolution"
"Kecleon","Colorless","Basic",NA,NA,"Kecleon_Colorless",1,"Final evolution"
"Keldeo","Water","Basic",NA,NA,"Keldeo_Water",1,"Final evolution"
"Klefki","Metal","Basic",NA,NA,"Klefki_Metal",1,"Final evolution"
"Klink","Metal","Basic","Klang",NA,"Klink_Metal",1,"Not final evolution"
"Koffing","Darkness","Basic","Weezing",NA,"Koffing_Darkness",1,"Not final evolution"
"Koraidon","Dragon","Basic",NA,NA,"Koraidon_Dragon",1,"Final evolution"
"Lapras","Water","Basic",NA,NA,"Lapras_Water",1,"Final evolution"
"Larvesta","Fire","Basic","Volcarona",NA,"Larvesta_Fire",1,"Not final evolution"
"Larvesta","Grass","Basic","Volcarona",NA,"Larvesta_Grass",1,"Not final evolution"
"Lechonk","Colorless","Basic","Oinkologne",NA,"Lechonk_Colorless",2,"Not final evolution"
"Ledyba","Grass","Basic","Ledian",NA,"Ledyba_Grass",1,"Not final evolution"
"Lickitung","Colorless","Basic","Lickilicky",NA,"Lickitung_Colorless",1,"Not final evolution"
"Lillipup","Colorless","Basic","Herdier",NA,"Lillipup_Colorless",1,"Not final evolution"
"Litleo","Fire","Basic","Pyroar",NA,"Litleo_Fire",2,"Not final evolution"
"Litten","Fire","Basic","Torracat",NA,"Litten_Fire",1,"Not final evolution"
"Litwick","Fire","Basic","Lampent",NA,"Litwick_Fire",1,"Not final evolution"
"Lotad","Water","Basic","Lombre",NA,"Lotad_Water",1,"Not final evolution"
"Lunatone","Psychic","Basic",NA,NA,"Lunatone_Psychic",1,"Final evolution"
"Luvdisc","Water","Basic",NA,NA,"Luvdisc_Water",1,"Final evolution"
"Magby","Fire","Basic","Magmar",NA,"Magby_Fire",1,"Not final evolution"
"Magikarp","Water","Basic","Gyarados",NA,"Magikarp_Water",2,"Not final evolution"
"Magnemite","Lightning","Basic","Magneton",NA,"Magnemite_Lightning",2,"Not final evolution"
"Manaphy","Water","Basic",NA,NA,"Manaphy_Water",1,"Final evolution"
"Mankey","Fighting","Basic","Primeape",NA,"Mankey_Fighting",2,"Not final evolution"
"Mantyke","Water","Basic","Mantine",NA,"Mantyke_Water",1,"Not final evolution"
"Maractus","Grass","Basic",NA,NA,"Maractus_Grass",1,"Final evolution"
"Mareanie","Darkness","Basic","Toxapex",NA,"Mareanie_Darkness",1,"Not final evolution"
"Mareep","Lightning","Basic","Flaaffy",NA,"Mareep_Lightning",2,"Not final evolution"
"Marill","Water","Basic","Azumarill",NA,"Marill_Water",2,"Not final evolution"
"Marill","Fairy","Basic","Azumarill",NA,"Marill_Fairy",1,"Not final evolution"
"Marill","Psychic","Basic","Azumarill",NA,"Marill_Psychic",1,"Not final evolution"
"Maschiff","Darkness","Basic",NA,NA,"Maschiff_Darkness",1,"Final evolution"
"Mawile","Metal","Basic",NA,NA,"Mawile_Metal",1,"Final evolution"
"Mawile","Psychic","Basic",NA,NA,"Mawile_Psychic",1,"Final evolution"
"Meditite","Psychic","Basic","Medicham",NA,"Meditite_Psychic",1,"Not final evolution"
"Meltan","Metal","Basic","Melmetal",NA,"Meltan_Metal",1,"Not final evolution"
"Meowth","Colorless","Basic","Persian",NA,"Meowth_Colorless",1,"Not final evolution"
"Mienfoo","Fighting","Basic","Mienshao",NA,"Mienfoo_Fighting",1,"Not final evolution"
"Miltank","Colorless","Basic",NA,NA,"Miltank_Colorless",1,"Final evolution"
"Mimikyu","Psychic","Basic",NA,NA,"Mimikyu_Psychic",1,"Final evolution"
"Misdreavus","Psychic","Basic","Mismagius",NA,"Misdreavus_Psychic",2,"Not final evolution"
"Morelull","Grass","Basic","Shiinotic",NA,"Morelull_Grass",1,"Not final evolution"
"Morpeko","Lightning","Basic",NA,NA,"Morpeko_Lightning",1,"Final evolution"
"Morpeko","Darkness","Basic",NA,NA,"Morpeko_Darkness",1,"Final evolution"
"Mow Rotom","Grass","Basic",NA,NA,"Mow Rotom_Grass",1,"Final evolution"
"Mr Mime","Psychic","Basic",NA,NA,"Mr Mime_Psychic",1,"Final evolution"
"Murkrow","Darkness","Basic","Honchkrow",NA,"Murkrow_Darkness",2,"Not final evolution"
"Nacli","Fighting","Basic",NA,NA,"Nacli_Fighting",1,"Final evolution"
"Natu","Psychic","Basic","Xatu",NA,"Natu_Psychic",1,"Not final evolution"
"Nickit","Darkness","Basic","Thievul",NA,"Nickit_Darkness",1,"Not final evolution"
"Nidoran male","Darkness","Basic","Nidorina",NA,"Nidoran male_Darkness",1,"Not final evolution"
"Noibat","Dragon","Basic","Noivern",NA,"Noibat_Dragon",2,"Not final evolution"
"Numel","Fire","Basic","Camerupt",NA,"Numel_Fire",1,"Not final evolution"
"Nymble","Grass","Basic",NA,NA,"Nymble_Grass",1,"Final evolution"
"Oddish","Grass","Basic","Gloom",NA,"Oddish_Grass",2,"Not final evolution"
"Oranguru","Colorless","Basic",NA,NA,"Oranguru_Colorless",1,"Final evolution"
"Oricorio","Fire","Basic",NA,NA,"Oricorio_Fire",1,"Final evolution"
"Oricorio","Lightning","Basic",NA,NA,"Oricorio_Lightning",1,"Final evolution"
"Orthworm","Metal","Basic",NA,NA,"Orthworm_Metal",1,"Final evolution"
"Pachirisu","Lightning","Basic",NA,NA,"Pachirisu_Lightning",1,"Final evolution"
"Paldean Wooper","Darkness","Basic","Quagsire",NA,"Paldean Wooper_Darkness",2,"Not final evolution"
"Panpour","Water","Basic","Simipour",NA,"Panpour_Water",1,"Not final evolution"
"Pansage","Grass","Basic","Simisage",NA,"Pansage_Grass",1,"Not final evolution"
"Pansear","Fire","Basic","Simisear",NA,"Pansear_Fire",1,"Not final evolution"
"Paras","Grass","Basic","Parasect",NA,"Paras_Grass",1,"Not final evolution"
"Pawmi","Lightning","Basic",NA,NA,"Pawmi_Lightning",1,"Final evolution"
"Pawniard","Metal","Basic","Bisharp",NA,"Pawniard_Metal",1,"Not final evolution"
"Petilil","Grass","Basic","Lilligant",NA,"Petilil_Grass",1,"Not final evolution"
"Phantump","Grass","Basic","Trevenant",NA,"Phantump_Grass",1,"Not final evolution"
"Pidgey","Colorless","Basic","Pidgeotto",NA,"Pidgey_Colorless",1,"Not final evolution"
"Pidove","Colorless","Basic","Tranquill",NA,"Pidove_Colorless",1,"Not final evolution"
"Pikachu","Lightning","Basic","Raichu",NA,"Pikachu_Lightning",2,"Not final evolution"
"Pincurchin","Lightning","Basic",NA,NA,"Pincurchin_Lightning",1,"Final evolution"
"Pineco","Grass","Basic","Forretress",NA,"Pineco_Grass",2,"Not final evolution"
"Plusle","Lightning","Basic",NA,NA,"Plusle_Lightning",1,"Final evolution"
"Poliwag","Water","Basic","Poliwhirl",NA,"Poliwag_Water",1,"Not final evolution"
"Poltchageist","Grass","Basic",NA,NA,"Poltchageist_Grass",1,"Final evolution"
"Ponyta","Fire","Basic","Rapidash",NA,"Ponyta_Fire",1,"Not final evolution"
"Porygon","Colorless","Basic","Porygon2",NA,"Porygon_Colorless",1,"Not final evolution"
"Psyduck","Water","Basic","Golduck",NA,"Psyduck_Water",1,"Not final evolution"
"Pumpkaboo","Psychic","Basic","Gourgeist",NA,"Pumpkaboo_Psychic",1,"Not final evolution"
"Purrloin","Darkness","Basic","Liepard",NA,"Purrloin_Darkness",1,"Not final evolution"
"Quaxly","Water","Basic",NA,NA,"Quaxly_Water",1,"Final evolution"
"Ralts","Psychic","Basic","Kirlia",NA,"Ralts_Psychic",2,"Not final evolution"
"Ralts","Fairy","Basic","Kirlia",NA,"Ralts_Fairy",1,"Not final evolution"
"Rattata","Colorless","Basic","Raticate",NA,"Rattata_Colorless",1,"Not final evolution"
"Regieleki","Lightning","Basic",NA,NA,"Regieleki_Lightning",1,"Final evolution"
"Relicanth","Water","Basic",NA,NA,"Relicanth_Water",1,"Final evolution"
"Rellor","Grass","Basic",NA,NA,"Rellor_Grass",1,"Final evolution"
"Remoraid","Water","Basic","Octillery",NA,"Remoraid_Water",1,"Not final evolution"
"Reshiram","Fire","Basic",NA,NA,"Reshiram_Fire",1,"Final evolution"
"Rockruff","Fighting","Basic","Lycanroc",NA,"Rockruff_Fighting",2,"Not final evolution"
"Rotom","Lightning","Basic",NA,NA,"Rotom_Lightning",1,"Final evolution"
"Rufflet","Colorless","Basic","Braviary",NA,"Rufflet_Colorless",1,"Not final evolution"
"Sableye","Darkness","Basic",NA,NA,"Sableye_Darkness",1,"Final evolution"
"Salandit","Fire","Basic","Salazzle",NA,"Salandit_Fire",1,"Not final evolution"
"Sandile","Darkness","Basic","Krokorok",NA,"Sandile_Darkness",1,"Not final evolution"
"Scatterbug","Grass","Basic","Spewpa",NA,"Scatterbug_Grass",2,"Not final evolution"
"Scorbunny","Fire","Basic","Raboot",NA,"Scorbunny_Fire",1,"Not final evolution"
"Scraggy","Darkness","Basic","Scrafty",NA,"Scraggy_Darkness",1,"Not final evolution"
"Scream Tail","Psychic","Basic",NA,NA,"Scream Tail_Psychic",1,"Final evolution"
"Scyther","Grass","Basic","Scizor",NA,"Scyther_Grass",2,"Not final evolution"
"Seedot","Grass","Basic","Nuzleaf",NA,"Seedot_Grass",1,"Not final evolution"
"Seel","Water","Basic","Dewgong",NA,"Seel_Water",1,"Not final evolution"
"Seviper","Darkness","Basic",NA,NA,"Seviper_Darkness",1,"Final evolution"
"Sewaddle","Grass","Basic","Swadloon",NA,"Sewaddle_Grass",1,"Not final evolution"
"Shaymin","Grass","Basic",NA,NA,"Shaymin_Grass",1,"Final evolution"
"Shellos","Water","Basic","Gastrodon",NA,"Shellos_Water",1,"Not final evolution"
"Shelmet","Grass","Basic","Accelgor",NA,"Shelmet_Grass",1,"Not final evolution"
"Shinx","Lightning","Basic","Luxio",NA,"Shinx_Lightning",2,"Not final evolution"
"Shroomish","Grass","Basic","Breloom",NA,"Shroomish_Grass",2,"Not final evolution"
"Shuckle","Grass","Basic",NA,NA,"Shuckle_Grass",1,"Final evolution"
"Shuppet","Psychic","Basic","Banette",NA,"Shuppet_Psychic",2,"Not final evolution"
"Sigilyph","Psychic","Basic",NA,NA,"Sigilyph_Psychic",1,"Final evolution"
"Sinistea","Psychic","Basic","Polteageist",NA,"Sinistea_Psychic",1,"Not final evolution"
"Sizzlipede","Fire","Basic","Centiskorch",NA,"Sizzlipede_Fire",1,"Not final evolution"
"Skarmory","Metal","Basic",NA,NA,"Skarmory_Metal",1,"Final evolution"
"Skitty","Colorless","Basic","Delcatty",NA,"Skitty_Colorless",1,"Not final evolution"
"Skrelp","Darkness","Basic","Dragalge",NA,"Skrelp_Darkness",1,"Not final evolution"
"Skwovet","Colorless","Basic","Greedent",NA,"Skwovet_Colorless",2,"Not final evolution"
"Slakoth","Colorless","Basic","Vigoroth",NA,"Slakoth_Colorless",2,"Not final evolution"
"Slowpoke","Water","Basic",NA,NA,"Slowpoke_Water",1,"Final evolution"
"Slowpoke","Psychic","Basic",NA,NA,"Slowpoke_Psychic",1,"Final evolution"
"Slugma","Fire","Basic","Magcargo",NA,"Slugma_Fire",1,"Not final evolution"
"Smeargle","Colorless","Basic",NA,NA,"Smeargle_Colorless",1,"Final evolution"
"Smoliv","Grass","Basic","Dolliv",NA,"Smoliv_Grass",2,"Not final evolution"
"Snom","Water","Basic","Frosmoth",NA,"Snom_Water",1,"Not final evolution"
"Snorlax","Colorless","Basic",NA,NA,"Snorlax_Colorless",1,"Final evolution"
"Snorunt","Water","Basic",NA,NA,"Snorunt_Water",1,"Final evolution"
"Snover","Grass","Basic","Abomasnow",NA,"Snover_Grass",2,"Not final evolution"
"Snubbull","Fairy","Basic","Granbull",NA,"Snubbull_Fairy",1,"Not final evolution"
"Solosis","Psychic","Basic","Duosion",NA,"Solosis_Psychic",1,"Not final evolution"
"Solrock","Psychic","Basic",NA,NA,"Solrock_Psychic",1,"Final evolution"
"Spearow","Colorless","Basic","Fearow",NA,"Spearow_Colorless",1,"Not final evolution"
"Spectrier","Psychic","Basic",NA,NA,"Spectrier_Psychic",1,"Final evolution"
"Spinarak","Grass","Basic","Ariados",NA,"Spinarak_Grass",1,"Not final evolution"
"Spinda","Colorless","Basic",NA,NA,"Spinda_Colorless",1,"Final evolution"
"Spiritomb","Darkness","Basic",NA,NA,"Spiritomb_Darkness",1,"Final evolution"
"Spoink","Psychic","Basic","Grumpig",NA,"Spoink_Psychic",1,"Not final evolution"
"Sprigatito","Grass","Basic",NA,NA,"Sprigatito_Grass",1,"Final evolution"
"Spritzee","Fairy","Basic","Aromatisse",NA,"Spritzee_Fairy",1,"Not final evolution"
"Squirtle","Water","Basic","Wartortle",NA,"Squirtle_Water",2,"Not final evolution"
"Starly","Colorless","Basic","Staravia",NA,"Starly_Colorless",2,"Not final evolution"
"Staryu","Water","Basic","Starmie",NA,"Staryu_Water",1,"Not final evolution"
"Stufful","Colorless","Basic","Bewear",NA,"Stufful_Colorless",1,"Not final evolution"
"Stunfisk","Lightning","Basic",NA,NA,"Stunfisk_Lightning",1,"Final evolution"
"Surskit","Grass","Basic","Masquerain",NA,"Surskit_Grass",1,"Not final evolution"
"Swablu","Colorless","Basic","Altaria",NA,"Swablu_Colorless",1,"Not final evolution"
"Swirlix","Psychic","Basic","Slurpuff",NA,"Swirlix_Psychic",1,"Not final evolution"
"Tadbulb","Lightning","Basic","Bellibolt",NA,"Tadbulb_Lightning",2,"Not final evolution"
