"Name","Type","Stage","Quantity","Name_type","Evolves_to","Evolves_from","Final_stage"
"Deerling","Grass","Basic",1,"Deerling_Grass","Sawsbuck",NA,"Not final evolution"
"Deino","Dragon","Basic",1,"Deino_Dragon","Zweilous",NA,"Not final evolution"
"Delibird","Water","Basic",2,"Delibird_Water",NA,NA,"Final evolution"
"Deoxys","Psychic","Basic",1,"Deoxys_Psychic",NA,NA,"Final evolution"
"Dewpider","Grass","Basic",1,"Dewpider_Grass","Araquanid",NA,"Not final evolution"
"Dhelmise","Grass","Basic",1,"Dhelmise_Grass",NA,NA,"Final evolution"
"Dhelmise","Psychic","Basic",1,"Dhelmise_Psychic",NA,NA,"Final evolution"
"Diglett","Fighting","Basic",2,"Diglett_Fighting","Dugtrio",NA,"Not final evolution"
"Doduo","Colorless","Basic",1,"Doduo_Colorless","Dodrio",NA,"Not final evolution"
"Drampa","Dragon","Basic",2,"Drampa_Dragon",NA,NA,"Final evolution"
"Dratini","Dragon","Basic",3,"Dratini_Dragon","Dragonair",NA,"Not final evolution"
"Dreepy","Psychic","Basic",3,"Dreepy_Psychic","Drakloak",NA,"Not final evolution"
"Drifloon","Psychic","Basic",2,"Drifloon_Psychic","Drifblim",NA,"Not final evolution"
"Drilbur","Fighting","Basic",2,"Drilbur_Fighting","Excadrill",NA,"Not final evolution"
"Drowzee","Psychic","Basic",9,"Drowzee_Psychic","Hypno",NA,"Not final evolution"
"Ducklett","Water","Basic",1,"Ducklett_Water","Swanna",NA,"Not final evolution"
"Ducklett","Colorless","Basic",2,"Ducklett_Colorless","Swanna",NA,"Not final evolution"
"Dunsparce","Colorless","Basic",3,"Dunsparce_Colorless",NA,NA,"Final evolution"
"Durant","Grass","Basic",1,"Durant_Grass",NA,NA,"Final evolution"
"Durant","Metal","Basic",1,"Durant_Metal",NA,NA,"Final evolution"
"Dwebble","Grass","Basic",2,"Dwebble_Grass","Crustle",NA,"Not final evolution"
"Eevee","Colorless","Basic",5,"Eevee_Colorless",NA,NA,"Final evolution"
"Eiscue","Water","Basic",5,"Eiscue_Water",NA,NA,"Final evolution"
"Ekans","Psychic","Basic",1,"Ekans_Psychic","Arbok",NA,"Not final evolution"
"Electabuzz","Lightning","Basic",4,"Electabuzz_Lightning","Electivire",NA,"Not final evolution"
"Electrike","Lightning","Basic",3,"Electrike_Lightning","Manectric",NA,"Not final evolution"
"Elekid","Lightning","Basic",1,"Elekid_Lightning","Electabuzz",NA,"Not final evolution"
"Elgyem","Psychic","Basic",6,"Elgyem_Psychic","Beheeyem",NA,"Not final evolution"
"Emolga","Lightning","Basic",2,"Emolga_Lightning",NA,NA,"Final evolution"
"Espurr","Psychic","Basic",7,"Espurr_Psychic","Meowstic",NA,"Not final evolution"
"Exeggcute","Grass","Basic",1,"Exeggcute_Grass","Exeggutor",NA,"Not final evolution"
"Falinks","Fighting","Basic",5,"Falinks_Fighting",NA,NA,"Final evolution"
"Fan Rotom","Colorless","Basic",2,"Fan Rotom_Colorless",NA,NA,"Final evolution"
"Farfetch'd","Colorless","Basic",1,"Farfetch'd_Colorless","Sirfetch'd",NA,"Not final evolution"
"Feebas","Water","Basic",6,"Feebas_Water","Milotic",NA,"Not final evolution"
"Ferroseed","Metal","Basic",9,"Ferroseed_Metal","Ferrothorn",NA,"Not final evolution"
"Fidough","Psychic","Basic",1,"Fidough_Psychic",NA,NA,"Final evolution"
"Finizen","Water","Basic",1,"Finizen_Water","Palafin",NA,"Not final evolution"
"Flabébé","Fairy","Basic",1,"Flabébé_Fairy","Floette",NA,"Not final evolution"
"Flamigo","Colorless","Basic",1,"Flamigo_Colorless",NA,NA,"Final evolution"
"Flamigo","Fighting","Basic",3,"Flamigo_Fighting",NA,NA,"Final evolution"
"Fletchling","Colorless","Basic",6,"Fletchling_Colorless","Fletchinder",NA,"Not final evolution"
"Flittle","Psychic","Basic",1,"Flittle_Psychic",NA,NA,"Final evolution"
"Flutter Mane","Psychic","Basic",2,"Flutter Mane_Psychic",NA,NA,"Final evolution"
"Fomantis","Grass","Basic",3,"Fomantis_Grass","Lurantis",NA,"Not final evolution"
"Foongus","Grass","Basic",2,"Foongus_Grass","Amoonguss",NA,"Not final evolution"
"Frigibax","Water","Basic",2,"Frigibax_Water",NA,NA,"Final evolution"
"Frillish","Water","Basic",1,"Frillish_Water","Jellicent",NA,"Not final evolution"
"Froakie","Water","Basic",2,"Froakie_Water","Frogadier",NA,"Not final evolution"
"Fuecoco","Fire","Basic",6,"Fuecoco_Fire",NA,NA,"Final evolution"
"Furfrou","Colorless","Basic",1,"Furfrou_Colorless",NA,NA,"Final evolution"
"Galarian Corsola","Psychic","Basic",1,"Galarian Corsola_Psychic","Cursola",NA,"Not final evolution"
"Galarian Darumaka","Water","Basic",1,"Galarian Darumaka_Water","Darmanitan",NA,"Not final evolution"
"Galarian Farfetch'd","Fighting","Basic",2,"Galarian Farfetch'd_Fighting","Sirfetch'd",NA,"Not final evolution"
"Galarian Meowth","Metal","Basic",1,"Galarian Meowth_Metal","Persian",NA,"Not final evolution"
"Galarian Mr Mime","Water","Basic",1,"Galarian Mr Mime_Water","Mr. Rime",NA,"Not final evolution"
"Galarian Stunfisk","Metal","Basic",1,"Galarian Stunfisk_Metal",NA,NA,"Final evolution"
"Galarian Yamask","Fighting","Basic",1,"Galarian Yamask_Fighting","Runerigus",NA,"Not final evolution"
"Galarian Yamask","Fighting","Basic",1,"Galarian Yamask_Fighting","Cofagrigus",NA,"Not final evolution"
"Galarian Zigzagoon","Darkness","Basic",1,"Galarian Zigzagoon_Darkness","Linoone",NA,"Not final evolution"
"Gastly","Psychic","Basic",2,"Gastly_Psychic","Haunter",NA,"Not final evolution"
"Gastly","Darkness","Basic",2,"Gastly_Darkness","Haunter",NA,"Not final evolution"
"Geodude","Fighting","Basic",1,"Geodude_Fighting","Graveler",NA,"Not final evolution"
"Gible","Fighting","Basic",2,"Gible_Fighting","Gabite",NA,"Not final evolution"
"Gimmighoul","Psychic","Basic",1,"Gimmighoul_Psychic",NA,NA,"Final evolution"
"Girafarig","Psychic","Basic",1,"Girafarig_Psychic",NA,NA,"Final evolution"
"Girafarig","Colorless","Basic",2,"Girafarig_Colorless",NA,NA,"Final evolution"
"Glameow","Colorless","Basic",1,"Glameow_Colorless","Purugly",NA,"Not final evolution"
"Gligar","Fighting","Basic",3,"Gligar_Fighting","Gliscor",NA,"Not final evolution"
"Glimmet","Fighting","Basic",2,"Glimmet_Fighting","Glimmora",NA,"Not final evolution"
"Goldeen","Water","Basic",1,"Goldeen_Water","Seaking",NA,"Not final evolution"
"Golett","Fighting","Basic",2,"Golett_Fighting","Golurk",NA,"Not final evolution"
"Gossifleur","Grass","Basic",1,"Gossifleur_Grass","Eldegoss",NA,"Not final evolution"
"Grapploct V","Fighting","Basic",1,"Grapploct V_Fighting",NA,NA,"Final evolution"
"Great Tusk","Fighting","Basic",2,"Great Tusk_Fighting",NA,NA,"Final evolution"
"Greavard","Psychic","Basic",2,"Greavard_Psychic","Houndstone",NA,"Not final evolution"
"Grimer","Darkness","Basic",2,"Grimer_Darkness","Muk",NA,"Not final evolution"
"Grookey","Grass","Basic",1,"Grookey_Grass","Thwackey",NA,"Not final evolution"
"Growlithe","Fire","Basic",4,"Growlithe_Fire","Arcanine",NA,"Not final evolution"
"Grubbin","Grass","Basic",2,"Grubbin_Grass","Charjabug",NA,"Not final evolution"
"Hawlucha","Fighting","Basic",4,"Hawlucha_Fighting",NA,NA,"Final evolution"
"Heatmor","Fire","Basic",3,"Heatmor_Fire",NA,NA,"Final evolution"
"Helioptile","Lightning","Basic",3,"Helioptile_Lightning","Heliolisk",NA,"Not final evolution"
"Heracross","Grass","Basic",2,"Heracross_Grass",NA,NA,"Final evolution"
"Hisuian Growlithe","Fighting","Basic",5,"Hisuian Growlithe_Fighting","Arcanine",NA,"Not final evolution"
"Honedge","Metal","Basic",1,"Honedge_Metal","Doublade",NA,"Not final evolution"
"Hoothoot","Colorless","Basic",2,"Hoothoot_Colorless","Noctowl",NA,"Not final evolution"
"Hoppip","Grass","Basic",2,"Hoppip_Grass","Skiploom",NA,"Not final evolution"
"Horsea","Water","Basic",3,"Horsea_Water","Seadra",NA,"Not final evolution"
"Houndour","Fire","Basic",2,"Houndour_Fire","Houndoom",NA,"Not final evolution"
"Houndour","Darkness","Basic",2,"Houndour_Darkness","Houndoom",NA,"Not final evolution"
"Illumise","Grass","Basic",1,"Illumise_Grass",NA,NA,"Final evolution"
"Impidimp","Darkness","Basic",1,"Impidimp_Darkness","Morgrem",NA,"Not final evolution"
"Indeedee","Psychic","Basic",3,"Indeedee_Psychic",NA,NA,"Final evolution"
"Indeedee","Colorless","Basic",1,"Indeedee_Colorless",NA,NA,"Final evolution"
"Inkay","Psychic","Basic",1,"Inkay_Psychic","Malamar",NA,"Not final evolution"
"Inkay","Darkness","Basic",3,"Inkay_Darkness","Malamar",NA,"Not final evolution"
"Iron Bundle","Water","Basic",1,"Iron Bundle_Water",NA,NA,"Final evolution"
"Iron Moth","Fire","Basic",1,"Iron Moth_Fire",NA,NA,"Final evolution"
"Iron Valiant","Psychic","Basic",2,"Iron Valiant_Psychic",NA,NA,"Final evolution"
"Jigglypuff","Fairy","Basic",2,"Jigglypuff_Fairy","Wigglytuff",NA,"Not final evolution"
"Jigglypuff","Psychic","Basic",3,"Jigglypuff_Psychic","Wigglytuff",NA,"Not final evolution"
"Jirachi","Metal","Basic",1,"Jirachi_Metal",NA,NA,"Final evolution"
"Joltik","Lightning","Basic",1,"Joltik_Lightning","Galvantula",NA,"Not final evolution"
"Jynx","Psychic","Basic",5,"Jynx_Psychic",NA,NA,"Final evolution"
"Kangaskhan","Colorless","Basic",2,"Kangaskhan_Colorless",NA,NA,"Final evolution"
"Kecleon","Colorless","Basic",2,"Kecleon_Colorless",NA,NA,"Final evolution"
"Keldeo","Water","Basic",2,"Keldeo_Water",NA,NA,"Final evolution"
"Klawf","Fighting","Basic",1,"Klawf_Fighting",NA,NA,"Final evolution"
"Klefki","Metal","Basic",1,"Klefki_Metal",NA,NA,"Final evolution"
"Klink","Metal","Basic",3,"Klink_Metal","Klang",NA,"Not final evolution"
"Koffing","Darkness","Basic",2,"Koffing_Darkness","Weezing",NA,"Not final evolution"
"Koraidon","Dragon","Basic",1,"Koraidon_Dragon",NA,NA,"Final evolution"
"Koraidon","Fighting","Basic",1,"Koraidon_Fighting",NA,NA,"Final evolution"
"Kubfu","Fighting","Basic",1,"Kubfu_Fighting","Urshifu",NA,"Not final evolution"
"Lapras","Water","Basic",2,"Lapras_Water",NA,NA,"Final evolution"
"Larvesta","Fire","Basic",3,"Larvesta_Fire","Volcarona",NA,"Not final evolution"
"Larvesta","Grass","Basic",1,"Larvesta_Grass","Volcarona",NA,"Not final evolution"
"Larvitar","Fighting","Basic",5,"Larvitar_Fighting","Pupitar",NA,"Not final evolution"
"Lechonk","Colorless","Basic",7,"Lechonk_Colorless","Oinkologne",NA,"Not final evolution"
"Ledyba","Grass","Basic",2,"Ledyba_Grass","Ledian",NA,"Not final evolution"
"Lickitung","Colorless","Basic",3,"Lickitung_Colorless","Lickilicky",NA,"Not final evolution"
"Lillipup","Colorless","Basic",1,"Lillipup_Colorless","Herdier",NA,"Not final evolution"
"Litleo","Fire","Basic",2,"Litleo_Fire","Pyroar",NA,"Not final evolution"
"Litten","Fire","Basic",2,"Litten_Fire","Torracat",NA,"Not final evolution"
"Litwick","Fire","Basic",3,"Litwick_Fire","Lampent",NA,"Not final evolution"
"Lotad","Water","Basic",1,"Lotad_Water","Lombre",NA,"Not final evolution"
"Lunatone","Psychic","Basic",3,"Lunatone_Psychic",NA,NA,"Final evolution"
"Luvdisc","Water","Basic",2,"Luvdisc_Water",NA,NA,"Final evolution"
"Magby","Fire","Basic",1,"Magby_Fire","Magmar",NA,"Not final evolution"
"Magikarp","Water","Basic",6,"Magikarp_Water","Gyarados",NA,"Not final evolution"
"Magnemite","Lightning","Basic",8,"Magnemite_Lightning","Magneton",NA,"Not final evolution"
"Makuhita","Fighting","Basic",3,"Makuhita_Fighting","Hariyama",NA,"Not final evolution"
"Manaphy","Water","Basic",1,"Manaphy_Water",NA,NA,"Final evolution"
"Mankey","Fighting","Basic",4,"Mankey_Fighting","Primeape",NA,"Not final evolution"
"Mantyke","Water","Basic",1,"Mantyke_Water","Mantine",NA,"Not final evolution"
"Maractus","Grass","Basic",1,"Maractus_Grass",NA,NA,"Final evolution"
"Mareanie","Darkness","Basic",1,"Mareanie_Darkness","Toxapex",NA,"Not final evolution"
"Mareep","Lightning","Basic",3,"Mareep_Lightning","Flaaffy",NA,"Not final evolution"
"Marill","Fairy","Basic",1,"Marill_Fairy","Azumarill",NA,"Not final evolution"
"Marill","Psychic","Basic",1,"Marill_Psychic","Azumarill",NA,"Not final evolution"
"Marill","Water","Basic",1,"Marill_Water","Azumarill",NA,"Not final evolution"
"Maschiff","Darkness","Basic",2,"Maschiff_Darkness",NA,NA,"Final evolution"
"Mawile","Psychic","Basic",2,"Mawile_Psychic",NA,NA,"Final evolution"
"Mawile","Metal","Basic",4,"Mawile_Metal",NA,NA,"Final evolution"
"Meditite","Psychic","Basic",1,"Meditite_Psychic","Medicham",NA,"Not final evolution"
"Meditite","Fighting","Basic",1,"Meditite_Fighting","Medicham",NA,"Not final evolution"
"Meltan","Metal","Basic",2,"Meltan_Metal","Melmetal",NA,"Not final evolution"
"Meowth","Colorless","Basic",2,"Meowth_Colorless","Persian",NA,"Not final evolution"
"Mienfoo","Fighting","Basic",2,"Mienfoo_Fighting","Mienshao",NA,"Not final evolution"
"Miltank","Colorless","Basic",1,"Miltank_Colorless",NA,NA,"Final evolution"
"Mimikyu","Psychic","Basic",3,"Mimikyu_Psychic",NA,NA,"Final evolution"
"Minior","Fighting","Basic",1,"Minior_Fighting",NA,NA,"Final evolution"
"Misdreavus","Psychic","Basic",1,"Misdreavus_Psychic","Mismagius",NA,"Not final evolution"
"Morelull","Grass","Basic",1,"Morelull_Grass","Shiinotic",NA,"Not final evolution"
"Morpeko","Lightning","Basic",3,"Morpeko_Lightning",NA,NA,"Final evolution"
"Morpeko","Darkness","Basic",3,"Morpeko_Darkness",NA,NA,"Final evolution"
"Mow Rotom","Grass","Basic",1,"Mow Rotom_Grass",NA,NA,"Final evolution"
"Mr Mime","Psychic","Basic",1,"Mr Mime_Psychic",NA,NA,"Final evolution"
"Mudbray","Fighting","Basic",1,"Mudbray_Fighting","Mudsdale",NA,"Not final evolution"
"Murkrow","Darkness","Basic",4,"Murkrow_Darkness","Honchkrow",NA,"Not final evolution"
"Nacli","Fighting","Basic",4,"Nacli_Fighting",NA,NA,"Final evolution"
"Natu","Psychic","Basic",3,"Natu_Psychic","Xatu",NA,"Not final evolution"
"Nickit","Darkness","Basic",1,"Nickit_Darkness","Thievul",NA,"Not final evolution"
"Nidoran male","Darkness","Basic",1,"Nidoran male_Darkness","Nidorina",NA,"Not final evolution"
"Noibat","Dragon","Basic",2,"Noibat_Dragon","Noivern",NA,"Not final evolution"
"Nosepass","Fighting","Basic",2,"Nosepass_Fighting","Probopass",NA,"Not final evolution"
"Numel","Fire","Basic",4,"Numel_Fire","Camerupt",NA,"Not final evolution"
"Nymble","Grass","Basic",6,"Nymble_Grass",NA,NA,"Final evolution"
"Oddish","Grass","Basic",5,"Oddish_Grass","Gloom",NA,"Not final evolution"
"Oranguru","Colorless","Basic",2,"Oranguru_Colorless",NA,NA,"Final evolution"
"Oricorio","Fire","Basic",1,"Oricorio_Fire",NA,NA,"Final evolution"
"Oricorio","Lightning","Basic",3,"Oricorio_Lightning",NA,NA,"Final evolution"
"Orthworm","Metal","Basic",2,"Orthworm_Metal",NA,NA,"Final evolution"
"Pachirisu","Lightning","Basic",3,"Pachirisu_Lightning",NA,NA,"Final evolution"
"Paldean Wooper","Darkness","Basic",3,"Paldean Wooper_Darkness","Quagsire",NA,"Not final evolution"
"Pancham","Fighting","Basic",4,"Pancham_Fighting","Pangoro",NA,"Not final evolution"
"Panpour","Water","Basic",4,"Panpour_Water","Simipour",NA,"Not final evolution"
"Pansage","Grass","Basic",3,"Pansage_Grass","Simisage",NA,"Not final evolution"
"Pansear","Fire","Basic",2,"Pansear_Fire","Simisear",NA,"Not final evolution"
"Paras","Grass","Basic",3,"Paras_Grass","Parasect",NA,"Not final evolution"
"Passimian","Fighting","Basic",1,"Passimian_Fighting",NA,NA,"Final evolution"
"Pawmi","Lightning","Basic",3,"Pawmi_Lightning",NA,NA,"Final evolution"
"Pawniard","Metal","Basic",3,"Pawniard_Metal","Bisharp",NA,"Not final evolution"
"Petilil","Grass","Basic",2,"Petilil_Grass","Lilligant",NA,"Not final evolution"
"Phanpy","Fighting","Basic",2,"Phanpy_Fighting","Donphan",NA,"Not final evolution"
"Phantump","Grass","Basic",4,"Phantump_Grass","Trevenant",NA,"Not final evolution"
"Pidgey","Colorless","Basic",3,"Pidgey_Colorless","Pidgeotto",NA,"Not final evolution"
"Pidove","Colorless","Basic",4,"Pidove_Colorless","Tranquill",NA,"Not final evolution"
"Pikachu","Lightning","Basic",10,"Pikachu_Lightning","Raichu",NA,"Not final evolution"
"Pincurchin","Lightning","Basic",2,"Pincurchin_Lightning",NA,NA,"Final evolution"
"Pineco","Grass","Basic",3,"Pineco_Grass","Forretress",NA,"Not final evolution"
"Plusle","Lightning","Basic",1,"Plusle_Lightning",NA,NA,"Final evolution"
"Poliwag","Water","Basic",3,"Poliwag_Water","Poliwhirl",NA,"Not final evolution"
"Poltchageist","Grass","Basic",1,"Poltchageist_Grass",NA,NA,"Final evolution"
"Ponyta","Fire","Basic",2,"Ponyta_Fire","Rapidash",NA,"Not final evolution"
"Porygon","Colorless","Basic",4,"Porygon_Colorless","Porygon2",NA,"Not final evolution"
"Psyduck","Water","Basic",1,"Psyduck_Water","Golduck",NA,"Not final evolution"
"Pumpkaboo","Psychic","Basic",1,"Pumpkaboo_Psychic","Gourgeist",NA,"Not final evolution"
"Purrloin","Darkness","Basic",2,"Purrloin_Darkness","Liepard",NA,"Not final evolution"
"Quaxly","Water","Basic",2,"Quaxly_Water",NA,NA,"Final evolution"
"Ralts","Fairy","Basic",1,"Ralts_Fairy","Kirlia",NA,"Not final evolution"
"Ralts","Psychic","Basic",10,"Ralts_Psychic","Kirlia",NA,"Not final evolution"
"Rattata","Colorless","Basic",2,"Rattata_Colorless","Raticate",NA,"Not final evolution"
"Regieleki","Lightning","Basic",1,"Regieleki_Lightning",NA,NA,"Final evolution"
"Relicanth","Water","Basic",4,"Relicanth_Water",NA,NA,"Final evolution"
"Rellor","Grass","Basic",1,"Rellor_Grass",NA,NA,"Final evolution"
"Remoraid","Water","Basic",3,"Remoraid_Water","Octillery",NA,"Not final evolution"
"Reshiram","Fire","Basic",1,"Reshiram_Fire",NA,NA,"Final evolution"
"Rhyhorn","Fighting","Basic",2,"Rhyhorn_Fighting","Rhydon",NA,"Not final evolution"
"Riolu","Fighting","Basic",1,"Riolu_Fighting","Lucario",NA,"Not final evolution"
"Rockruff","Fighting","Basic",4,"Rockruff_Fighting","Lycanroc",NA,"Not final evolution"
"Roggenrola","Fighting","Basic",2,"Roggenrola_Fighting","Boldore",NA,"Not final evolution"
"Rolycoly","Fighting","Basic",3,"Rolycoly_Fighting","Carkol",NA,"Not final evolution"
"Rotom","Lightning","Basic",3,"Rotom_Lightning",NA,NA,"Final evolution"
"Rufflet","Colorless","Basic",2,"Rufflet_Colorless","Braviary",NA,"Not final evolution"
"Sableye","Darkness","Basic",4,"Sableye_Darkness",NA,NA,"Final evolution"
"Salandit","Fire","Basic",2,"Salandit_Fire","Salazzle",NA,"Not final evolution"
"Sandile","Darkness","Basic",1,"Sandile_Darkness","Krokorok",NA,"Not final evolution"
"Sandile","Fighting","Basic",3,"Sandile_Fighting","Krokorok",NA,"Not final evolution"
"Sandshrew","Fighting","Basic",2,"Sandshrew_Fighting","Sandslash",NA,"Not final evolution"
"Sandy Shocks","Fighting","Basic",4,"Sandy Shocks_Fighting",NA,NA,"Final evolution"
"Sandygast","Fighting","Basic",4,"Sandygast_Fighting","Palossand",NA,"Not final evolution"
"Sawk","Fighting","Basic",1,"Sawk_Fighting",NA,NA,"Final evolution"
"Scatterbug","Grass","Basic",1,"Scatterbug_Grass","Spewpa",NA,"Not final evolution"
"Scorbunny","Fire","Basic",1,"Scorbunny_Fire","Raboot",NA,"Not final evolution"
"Scraggy","Darkness","Basic",3,"Scraggy_Darkness","Scrafty",NA,"Not final evolution"
"Scream Tail","Psychic","Basic",3,"Scream Tail_Psychic",NA,NA,"Final evolution"
"Scyther","Grass","Basic",4,"Scyther_Grass","Scizor",NA,"Not final evolution"
"Seedot","Grass","Basic",4,"Seedot_Grass","Nuzleaf",NA,"Not final evolution"
"Seel","Water","Basic",2,"Seel_Water","Dewgong",NA,"Not final evolution"
"Seviper","Darkness","Basic",3,"Seviper_Darkness",NA,NA,"Final evolution"
"Sewaddle","Grass","Basic",2,"Sewaddle_Grass","Swadloon",NA,"Not final evolution"
"Shaymin","Grass","Basic",1,"Shaymin_Grass",NA,NA,"Final evolution"
"Shellos","Water","Basic",3,"Shellos_Water","Gastrodon",NA,"Not final evolution"
